X,CH1,Ln CH1
Second,Volt,
-4.56E-06,-4.00E-02,#NUM!
-4.54E-06,-2.00E-02,#NUM!
-4.52E-06,-2.00E-02,#NUM!
-4.50E-06,-2.00E-02,#NUM!
-4.48E-06,-4.00E-02,#NUM!
-4.46E-06,2.38E+00,0.867100488
-4.44E-06,3.00E+00,1.098612289
-4.42E-06,3.28E+00,1.187843422
-4.40E-06,3.20E+00,1.16315081
-4.38E-06,3.22E+00,1.16938136
-4.36E-06,3.18E+00,1.156881197
-4.34E-06,3.14E+00,1.1442228
-4.32E-06,3.12E+00,1.137833002
-4.30E-06,3.10E+00,1.131402111
-4.28E-06,3.08E+00,1.124929597
-4.26E-06,3.06E+00,1.118414916
-4.24E-06,3.02E+00,1.105256831
-4.22E-06,3.00E+00,1.098612289
-4.20E-06,2.98E+00,1.091923301
-4.18E-06,2.96E+00,1.085189268
-4.16E-06,2.94E+00,1.078409581
-4.14E-06,2.92E+00,1.071583616
-4.12E-06,2.90E+00,1.064710737
-4.10E-06,2.88E+00,1.057790294
-4.08E-06,2.82E+00,1.036736885
-4.06E-06,2.80E+00,1.029619417
-4.04E-06,2.80E+00,1.029619417
-4.02E-06,2.78E+00,1.022450928
-4.00E-06,2.76E+00,1.01523068
-3.98E-06,2.72E+00,1.00063188
-3.96E-06,2.70E+00,0.993251773
-3.94E-06,2.68E+00,0.985816795
-3.92E-06,2.66E+00,0.978326123
-3.90E-06,2.66E+00,0.978326123
-3.88E-06,2.62E+00,0.963174318
-3.86E-06,2.62E+00,0.963174318
-3.84E-06,2.58E+00,0.947789399
-3.82E-06,2.56E+00,0.940007258
-3.80E-06,2.54E+00,0.932164081
-3.78E-06,2.52E+00,0.924258902
-3.76E-06,2.50E+00,0.916290732
-3.74E-06,2.48E+00,0.90825856
-3.72E-06,2.46E+00,0.90016135
-3.70E-06,2.44E+00,0.891998039
-3.68E-06,2.42E+00,0.88376754
-3.66E-06,2.40E+00,0.875468737
-3.64E-06,2.38E+00,0.867100488
-3.62E-06,2.38E+00,0.867100488
-3.60E-06,2.36E+00,0.858661619
-3.58E-06,2.32E+00,0.841567186
-3.56E-06,2.32E+00,0.841567186
-3.54E-06,2.30E+00,0.832909123
