X,CH1,
Second,Volt,
2.25200e-03,0.00e+00,
2.25300e-03,-2.00e-03,
2.25400e-03,2.00e-03,
2.25500e-03,-2.00e-03,
2.25600e-03,0.00e+00,
2.25700e-03,-2.00e-03,
2.25800e-03,-2.00e-03,
2.25900e-03,0.00e+00,
2.26000e-03,2.00e-03,
2.26100e-03,-1.00e-01,
2.26200e-03,-9.60e-02,
2.26300e-03,-4.80e-02,
2.26400e-03,-4.00e-02,
2.26500e-03,4.20e-02,
2.26600e-03,5.20e-02,
2.26700e-03,9.60e-02,
2.26800e-03,9.60e-02,
2.26900e-03,6.59e-02,
2.27000e-03,5.40e-02,
2.27100e-03,-1.80e-02,
2.27200e-03,-3.00e-02,
2.27300e-03,-8.40e-02,
2.27400e-03,-9.20e-02,
2.27500e-03,-7.40e-02,
2.27600e-03,-6.80e-02,
2.27700e-03,0.00e+00,
2.27800e-03,1.00e-02,
2.27900e-03,7.40e-02,
2.28000e-03,7.80e-02,
2.28100e-03,8.79e-02,
2.28200e-03,7.80e-02,
2.28300e-03,1.60e-02,
2.28400e-03,1.00e-02,
2.28500e-03,-5.60e-02,
2.28600e-03,-6.20e-02,
2.28700e-03,-8.19e-02,
2.28800e-03,-7.80e-02,
2.28900e-03,-3.20e-02,
2.29000e-03,-2.40e-02,
2.29100e-03,4.20e-02,
2.29200e-03,4.80e-02,
2.29300e-03,7.99e-02,
2.29400e-03,7.99e-02,
2.29500e-03,4.80e-02,
2.29600e-03,4.20e-02,
2.29700e-03,-2.20e-02,
2.29800e-03,-2.80e-02,
2.29900e-03,-7.20e-02,
2.30000e-03,-7.40e-02,
2.30100e-03,-5.60e-02,
2.30200e-03,-5.20e-02,
2.30300e-03,6.00e-03,
2.30400e-03,1.40e-02,
2.30500e-03,6.40e-02,
2.30600e-03,7.40e-02,
2.30700e-03,6.40e-02,
2.30800e-03,6.20e-02,
2.30900e-03,8.00e-03,
2.31000e-03,0.00e+00,
2.31100e-03,-5.40e-02,
2.31200e-03,-5.60e-02,
2.31300e-03,-6.80e-02,
2.31400e-03,-6.40e-02,
2.31500e-03,-2.20e-02,
2.31600e-03,-1.60e-02,
2.31700e-03,4.00e-02,
2.31800e-03,4.60e-02,
2.31900e-03,6.80e-02,
2.32000e-03,6.59e-02,
2.32100e-03,3.60e-02,
2.32200e-03,3.00e-02,
2.32300e-03,-2.40e-02,
2.32400e-03,-2.80e-02,
2.32500e-03,-6.20e-02,
2.32600e-03,-6.40e-02,
2.32700e-03,-4.40e-02,
2.32800e-03,-4.00e-02,
2.32900e-03,1.00e-02,
2.33000e-03,1.80e-02,
2.33100e-03,5.80e-02,
2.33200e-03,6.40e-02,
2.33300e-03,5.20e-02,
2.33400e-03,4.80e-02,
2.33500e-03,2.00e-03,
2.33600e-03,-4.00e-03,
2.33700e-03,-4.60e-02,
2.33800e-03,-5.00e-02,
2.33900e-03,-5.80e-02,
2.34000e-03,-5.20e-02,
2.34100e-03,-1.40e-02,
2.34200e-03,-8.00e-03,
2.34300e-03,3.80e-02,
2.34400e-03,4.20e-02,
2.34500e-03,5.60e-02,
2.34600e-03,5.40e-02,
2.34700e-03,2.80e-02,
2.34800e-03,2.20e-02,
2.34900e-03,-2.40e-02,
2.35000e-03,-2.80e-02,
2.35100e-03,-5.20e-02,
2.35200e-03,-5.40e-02,
2.35300e-03,-3.40e-02,
2.35400e-03,-2.80e-02,
2.35500e-03,1.40e-02,
2.35600e-03,1.60e-02,
2.35700e-03,5.00e-02,
2.35800e-03,5.40e-02,
2.35900e-03,4.20e-02,
2.36000e-03,3.80e-02,
2.36100e-03,-2.00e-03,
2.36200e-03,-6.00e-03,
2.36300e-03,-4.00e-02,
2.36400e-03,-4.20e-02,
2.36500e-03,-4.80e-02,
2.36600e-03,-4.00e-02,
2.36700e-03,-8.00e-03,
2.36800e-03,-4.00e-03,
