time (s), potA, potB
0,509,505
1,509,505
2,509,505
3,509,505
4,509,505
5,509,505
6,509,505
7,509,505
8,509,505
9,509,505
10,509,505
11,509,505
12,509,505
13,509,505
14,509,505
15,509,505
16,509,505
17,509,505
18,509,505
19,510,505
20,509,505
21,509,505
22,509,505
23,509,505
24,509,505
25,509,506
26,508,508
27,506,513
28,506,521
29,504,529
30,503,540
31,503,550
32,502,563
33,502,573
34,503,582
35,503,588
36,504,593
37,503,593
38,503,593
39,503,593
40,503,593
41,503,593
42,503,593
43,503,593
44,503,593
45,503,593
46,504,587
47,506,572
48,511,557
49,514,525
50,518,498
51,520,469
52,520,444
53,517,434
54,509,428
55,500,435
56,490,452
57,480,472
58,475,502
59,474,524
60,479,545
61,490,556
62,504,559
63,522,557
64,540,545
65,553,531
66,561,512
67,562,495
68,555,482
69,539,474
70,520,472
71,497,473
72,477,480
73,459,487
74,448,496
75,447,504
76,453,507
77,468,508
78,490,508
79,513,507
80,535,505
81,554,505
82,566,505
83,569,506
84,565,511
85,552,517
86,533,522
87,513,525
88,491,525
89,474,523
90,461,515
91,458,505
92,460,494
93,469,481
94,484,471
95,500,465
96,516,464
97,529,469
98,539,481
99,542,495
100,541,514
101,536,531
102,527,544
103,518,553
104,509,555
105,502,550
106,496,537
107,495,521
108,496,500
109,497,480
110,501,463
111,503,452
112,504,448
113,504,452
114,504,462
115,503,480
116,502,500
117,502,519
118,502,536
119,505,547
120,511,552
121,517,551
122,522,544
123,528,530
124,531,515
125,531,497
126,528,483
127,521,472
128,512,467
129,501,466
130,491,471
131,480,480
132,476,491
133,475,502
134,478,511
135,487,519
136,498,524
137,513,525
138,526,524
139,538,520
140,546,515
141,548,510
142,546,506
143,537,504
144,525,504
145,511,503
146,496,503
147,484,503
148,475,503
149,471,502
150,472,499
151,479,496
152,490,494
153,501,494
154,515,494
155,526,494
156,535,498
157,539,505
158,539,510
159,534,518
160,527,524
161,518,525
162,508,525
163,499,524
164,492,518
165,490,508
166,490,499
167,490,489
168,495,481
169,501,476
170,505,474
171,511,478
172,514,483
173,516,494
174,516,505
175,516,516
176,515,525
177,514,532
178,513,535
179,513,533
180,513,526
181,513,518
182,514,506
183,513,495
184,512,486
185,511,480
186,507,479
187,504,479
188,501,481
189,498,489
190,496,497
191,496,506
192,498,514
193,502,520
194,508,524
195,514,524
196,519,523
197,523,518
198,526,511
199,526,506
200,524,501
201,519,496
202,514,494
203,506,494
204,500,494
205,494,495
206,491,497
207,491,500
208,491,502
209,496,503
210,501,504
211,508,504
212,516,504
213,520,504
214,524,504
215,525,505
216,524,505
217,521,506
218,517,506
219,511,507
220,504,507
221,501,507
222,496,505
223,496,504
224,496,501
225,498,497
226,502,495
227,506,495
228,510,495
229,514,496
230,516,499
231,516,504
232,516,506
233,516,509
234,514,512
235,511,514
236,510,514
237,508,513
238,507,509
239,507,506
240,507,503
241,507,498
242,507,495
243,508,494
244,507,494
245,507,495
246,507,497
247,507,501
248,507,504
249,507,506
250,508,508
251,508,510
252,509,510
253,510,510
254,510,508
255,511,506
256,511,505
257,510,504
258,510,501
259,509,500
260,509,500
261,508,500
262,507,500
263,507,502
264,508,504
265,507,504
266,508,505
267,508,505
268,509,505
269,509,505
270,509,505
271,509,505
272,509,505
273,509,505
274,509,505
275,509,505
276,508,505
277,508,505
278,509,505
279,509,505
280,509,505
281,509,505
282,509,505
283,509,505
284,509,505
285,509,505
286,509,505
287,509,505
288,509,505
289,509,505
290,509,505
291,509,505
292,509,505
293,509,505
294,509,505
295,509,505
296,509,505
297,509,505
298,509,505
299,509,505
300,509,505