time (s), potA, potB
0,507,519
1,507,520
2,507,520
3,507,520
4,507,519
5,508,520
6,510,520
7,513,521
8,517,524
9,524,531
10,530,539
11,539,553
12,549,569
13,557,583
14,566,597
15,573,607
16,579,608
17,583,609
18,585,607
19,584,604
20,584,607
21,584,607
22,584,607
23,584,607
24,584,607
25,584,607
26,584,607
27,584,607
28,584,607
29,584,606
30,576,597
31,562,584
32,547,570
33,521,542
34,495,511
35,476,491
36,453,464
37,437,444
38,435,442
39,435,439
40,443,444
41,463,467
42,483,487
43,506,511
44,531,542
45,549,562
46,564,580
47,575,595
48,574,596
49,568,591
50,556,580
51,534,557
52,513,534
53,491,509
54,470,483
55,455,465
56,444,452
57,439,444
58,444,448
59,455,457
60,471,473
61,491,496
62,513,520
63,534,544
64,552,564
65,563,578
66,569,588
67,568,589
68,560,581
69,546,567
70,526,548
71,507,526
72,487,503
73,468,482
74,455,466
75,448,455
76,447,453
77,453,456
78,464,467
79,481,484
80,500,504
81,520,526
82,538,547
83,552,564
84,561,575
85,563,582
86,561,580
87,550,572
88,535,557
89,518,538
90,500,519
91,482,498
92,467,481
93,457,468
94,453,461
95,454,460
96,461,466
97,475,477
98,490,493
99,507,511
100,525,531
101,540,548
102,551,563
103,556,572
104,557,574
105,552,571
106,542,561
107,527,548
108,512,531
109,494,511
110,479,495
111,467,481
112,461,470
113,459,467
114,462,468
115,470,474
116,483,486
117,498,502
118,513,519
119,528,536
120,541,550
121,548,561
122,552,566
123,550,567
124,544,563
125,532,551
126,519,539
127,505,524
128,491,507
129,478,493
130,469,481
131,464,474
132,464,472
133,469,475
134,478,483
135,491,495
136,505,509
137,518,525
138,530,538
139,541,550
140,546,558
141,547,562
142,544,560
143,535,554
144,525,545
145,513,531
146,499,518
147,488,503
148,477,492
149,471,484
150,469,479
151,470,478
152,477,483
153,487,492
154,497,503
155,510,515
156,521,528
157,531,541
158,539,549
159,542,555
160,541,556
161,536,553
162,528,547
163,518,536
164,507,526
165,495,512
166,486,501
167,478,492
168,474,486
169,474,484
170,477,485
171,484,491
172,492,498
173,504,509
174,514,521
175,524,532
176,531,541
177,535,547
178,538,550
179,535,550
180,530,546
181,521,539
182,512,530
183,503,521
184,492,509
185,486,500
186,480,494
187,478,490
188,479,490
189,484,492
190,491,497
191,498,505
192,508,515
193,517,524
194,525,534
195,530,540
196,532,545
197,532,546
198,530,545
199,524,539
200,516,533
201,508,525
202,499,516
203,491,507
204,487,501
205,483,496
206,483,494
207,485,495
208,490,498
209,496,503
210,504,511
211,512,519
212,519,526
213,525,534
214,527,537
215,528,540
216,528,540
217,524,537
218,518,534
219,512,527
220,504,521
221,497,513
222,491,507
223,488,503
224,488,499
225,488,498
226,490,501
227,494,504
228,501,509
229,507,515
230,513,522
231,519,527
232,522,532
233,525,535
234,525,535
235,522,535
236,518,532
237,513,528
238,508,523
239,502,518
240,496,512
241,492,508
242,491,505
243,491,504
244,491,504
245,495,506
246,499,510
247,506,514
248,510,519
249,514,523
250,518,526
251,520,529
252,521,530
253,520,531
254,518,529
255,514,526
256,510,524
257,506,521
258,501,516
259,497,512
260,495,511
261,494,509
262,495,509
263,496,510
264,499,511
265,503,514
266,507,517
267,511,521
268,514,523
269,517,525
270,518,526
271,518,526
272,517,526
273,513,525
274,511,523
275,508,521
276,504,519
277,501,516
278,499,515
279,497,513
280,497,513
281,498,513
282,500,514
283,503,515
284,507,517
285,508,519
286,512,521
287,513,522
288,514,522
289,514,522
290,513,522
291,512,522
292,511,521
293,508,521
294,506,519
295,504,518
296,502,518
297,501,517
298,501,517
299,501,518
300,502,518
301,504,518
302,506,519
303,507,519
304,508,519
305,510,519
306,511,519
307,512,519
308,512,519
309,511,519
310,509,519
311,508,519
312,507,519
313,506,519
314,505,519
315,504,519
316,504,519
317,504,519
318,504,519
319,506,519
320,506,519
321,507,519
322,508,519
323,508,519
324,508,519
325,508,519
326,508,519
327,508,519
328,508,519
329,508,519
330,507,519
331,507,519
332,507,519
333,507,519
334,507,519
335,507,519
336,507,519
337,507,519
338,507,519
339,507,519
340,507,519
341,507,519
342,507,519
343,507,519
344,507,519
345,507,519
346,507,519
347,507,519
348,507,519
349,507,519
350,507,519
351,507,519
352,507,519
353,507,519
354,507,519
355,507,519
356,507,519
357,507,519
358,507,519
359,507,519
360,507,519
361,507,519
362,507,519
363,507,519
364,507,519
365,507,519
366,507,519
367,507,519
368,507,519
369,507,519
370,507,519
371,507,519
372,507,519
373,507,519
374,507,519
375,507,519
376,507,519
377,507,519
378,507,519
379,507,519
380,507,519
381,507,519
382,507,519
383,507,519
384,507,519
385,507,519
386,507,519
387,507,519
388,507,519
389,507,519
390,507,519
391,507,519
392,507,519
393,507,519
394,507,519
395,507,519
396,507,519
397,507,519
398,507,519
399,507,519
400,507,519
