
time (s), potA, potB
0,507,519
1,507,519
2,507,519
3,507,519
4,507,519
5,506,521
6,504,525
7,499,534
8,495,546
9,487,560
10,479,575
11,471,587
12,465,601
13,460,607
14,459,607
15,458,607
16,457,605
17,456,603
18,455,605
19,453,606
20,452,607
21,450,607
22,448,606
23,447,606
24,446,606
25,446,606
26,445,606
27,445,606
28,444,606
29,445,606
30,444,606
31,442,606
32,440,606
33,438,605
34,437,605
35,436,605
36,434,605
37,433,605
38,432,605
39,431,605
40,429,606
41,428,605
42,427,605
43,427,606
44,426,605
45,433,600
46,445,587
47,457,573
48,483,545
49,509,516
50,530,493
51,555,465
52,572,447
53,578,441
54,581,436
55,574,443
56,557,462
57,539,481
58,515,508
59,489,536
60,469,558
61,451,581
62,438,593
63,437,596
64,439,593
65,453,581
66,471,559
67,491,536
68,516,510
69,539,485
70,556,466
71,569,449
72,575,444
73,572,445
74,564,453
75,549,470
76,527,493
77,507,516
78,484,541
79,464,562
80,451,578
81,444,588
82,444,590
83,449,583
84,462,569
85,481,549
86,501,527
87,522,504
88,542,483
89,556,466
90,567,454
91,569,451
92,565,454
93,555,465
94,538,481
95,518,502
96,498,524
97,479,546
98,463,563
99,453,575
100,448,582
101,451,581
102,459,573
103,473,558
104,490,541
105,509,521
106,528,498
107,544,481
108,556,467
109,562,460
110,562,458
111,556,464
112,545,475
113,528,492
114,510,510
115,491,530
116,476,548
117,463,563
118,455,572
119,454,575
120,459,573
121,468,563
122,482,548
123,498,531
124,516,512
125,532,495
126,546,480
127,555,469
128,556,465
129,555,466
130,547,472
131,534,485
132,519,500
133,503,518
134,488,535
135,474,550
136,464,561
137,461,567
138,461,568
139,466,564
140,477,553
141,491,540
142,507,524
143,521,506
144,534,492
145,546,480
146,551,473
147,551,470
148,547,473
149,539,482
150,526,494
151,512,508
152,497,524
153,485,538
154,474,550
155,467,559
156,465,562
157,467,561
158,475,555
159,486,545
160,498,531
161,512,517
162,525,503
163,535,492
164,544,482
165,546,477
166,546,478
167,540,481
168,530,491
169,518,502
170,506,515
171,492,528
172,483,541
173,475,550
174,470,555
175,470,556
176,475,554
177,483,547
178,493,536
179,506,525
180,517,512
181,527,500
182,535,492
183,541,485
184,541,483
185,539,484
186,531,490
187,522,498
188,512,509
189,501,521
190,491,532
191,482,542
192,477,547
193,475,550
194,477,550
195,482,546
196,490,539
197,500,529
198,510,520
199,520,509
200,528,498
201,534,493
202,536,489
203,535,489
204,531,491
205,525,496
206,517,505
207,507,515
208,496,525
209,489,534
210,483,540
211,479,545
212,479,546
213,483,545
214,489,539
215,496,533
216,506,525
217,513,515
218,521,506
219,528,499
220,531,495
221,532,493
222,530,494
223,525,497
224,518,503
225,511,511
226,503,519
227,495,527
228,489,534
229,486,537
230,484,541
231,485,540
232,489,537
233,494,533
234,502,526
235,509,521
236,516,512
237,522,506
238,526,502
239,528,498
240,527,498
241,525,500
242,519,503
243,513,509
244,507,515
245,500,522
246,494,527
247,490,532
248,489,535
249,489,535
250,490,535
251,494,532
252,499,527
253,506,523
254,512,517
255,517,511
256,521,507
257,524,504
258,524,503
259,522,503
260,519,505
261,515,509
262,509,514
263,504,519
264,499,523
265,495,526
266,491,529
267,491,531
268,492,531
269,495,529
270,499,526
271,504,523
272,508,520
273,513,515
274,517,511
275,520,510
276,520,508
277,520,508
278,518,509
279,515,511
280,511,514
281,507,517
282,503,521
283,499,523
284,496,525
285,495,526
286,495,526
287,496,526
288,499,525
289,503,522
290,507,521
291,510,518
292,513,515
293,515,514
294,517,512
295,517,512
296,516,513
297,513,514
298,512,515
299,508,517
300,506,519
301,502,521
302,500,521
303,499,522
304,498,522
305,499,522
306,501,521
307,503,521
308,506,520
309,508,519
310,510,518
311,512,517
312,513,517
313,513,517
314,513,517
315,512,518
316,511,518
317,508,518
318,507,518
319,506,519
320,504,518
321,503,518
322,502,518
323,502,518
324,503,518
325,505,518
326,506,518
327,507,518
328,508,518
329,509,518
330,510,518
331,511,518
332,510,518
333,510,518
334,508,518
335,508,518
336,507,518
337,507,519
338,506,518
339,506,518
340,506,518
341,506,518
342,506,518
343,507,518
344,507,518
345,507,518
346,507,518
347,508,518
348,508,518
349,508,518
350,508,518
351,507,518
352,507,518
353,507,518
354,507,518
355,507,518
356,507,518
357,507,518
358,507,518
359,507,518
360,507,518
361,507,518
362,507,518
363,507,518
364,507,518
365,507,518
366,507,518
367,507,518
368,507,518
369,507,518
370,507,518
371,507,518
372,507,518
373,507,518
374,507,518
375,507,518
376,507,518
377,507,518
378,507,518
379,507,518
380,507,518
381,507,518
382,507,518
383,507,518
384,507,518
385,507,518
386,507,518
387,507,518
388,507,518
389,507,518
390,507,518
391,507,518
392,507,518
393,507,518
394,507,518
395,508,518
396,507,518
397,507,518
398,507,518
399,507,518
400,507,518