time (s), potA, potB
0,507,518
1,506,517
2,506,518
3,506,517
4,506,517
5,506,517
6,507,518
7,506,518
8,507,518
9,507,518
10,507,517
11,506,518
12,507,518
13,506,518
14,507,520
15,506,526
16,504,538
17,500,552
18,491,571
19,482,588
20,475,601
21,467,608
22,459,608
23,454,607
24,449,604
25,445,606
26,443,605
27,442,605
28,441,605
29,441,605
30,439,604
31,438,604
32,436,604
33,436,604
34,435,604
35,434,604
36,432,604
37,431,604
38,430,604
39,429,604
40,430,603
41,439,592
42,454,581
43,470,562
44,499,527
45,524,502
46,546,476
47,568,448
48,576,440
49,576,438
50,572,439
51,556,457
52,532,482
53,512,505
54,485,537
55,461,564
56,449,580
57,438,595
58,438,596
59,449,586
60,462,571
61,485,546
62,510,519
63,531,494
64,553,469
65,566,452
66,571,444
67,571,441
68,560,452
69,543,470
70,522,493
71,498,519
72,477,544
73,460,566
74,448,582
75,444,588
76,448,586
77,459,576
78,477,557
79,497,536
80,519,510
81,541,486
82,555,466
83,566,453
84,566,448
85,561,452
86,549,462
87,531,481
88,510,505
89,490,527
90,470,550
91,457,568
92,450,579
93,449,583
94,456,577
95,470,565
96,490,546
97,508,525
98,528,503
99,546,481
100,557,465
101,563,456
102,561,455
103,552,460
104,538,473
105,519,493
106,501,514
107,481,535
108,467,554
109,456,568
110,453,575
111,456,575
112,466,567
113,481,553
114,499,536
115,517,516
116,535,494
117,548,479
118,555,466
119,558,460
120,554,462
121,543,471
122,527,484
123,510,504
124,492,524
125,477,542
126,465,556
127,459,566
128,459,569
129,464,566
130,477,556
131,491,542
132,508,525
133,525,506
134,540,491
135,549,478
136,554,469
137,552,466
138,546,471
139,533,482
140,518,496
141,501,514
142,486,531
143,473,546
144,464,557
145,461,564
146,464,564
147,473,557
148,485,546
149,501,532
150,517,517
151,531,500
152,542,486
153,548,478
154,549,472
155,546,473
156,537,481
157,523,493
158,509,506
159,495,523
160,480,537
161,471,548
162,467,556
163,467,558
164,471,555
165,481,547
166,494,537
167,508,524
168,522,508
169,533,494
170,542,484
171,547,480
172,545,480
173,539,482
174,528,491
175,516,502
176,502,516
177,490,528
178,479,541
179,472,548
180,470,553
181,472,552
182,480,547
183,490,540
184,501,527
185,515,516
186,526,504
187,535,493
188,541,485
189,541,482
190,538,483
191,531,491
192,520,499
193,509,509
194,496,523
195,486,533
196,479,542
197,474,547
198,475,548
199,479,546
200,487,540
201,496,531
202,508,521
203,519,508
204,529,499
205,535,492
206,538,487
207,536,486
208,532,492
209,523,497
210,514,506
211,502,518
212,492,526
213,485,536
214,480,542
215,479,545
216,480,544
217,485,540
218,494,532
219,503,524
220,514,514
221,522,505
222,529,496
223,532,493
224,533,492
225,531,493
226,525,497
227,517,505
228,508,514
229,498,523
230,491,531
231,485,537
232,482,541
233,482,541
234,486,538
235,491,533
236,501,526
237,508,518
238,517,508
239,522,503
240,528,496
241,529,494
242,528,494
243,524,498
244,518,504
245,511,510
246,503,519
247,496,525
248,491,532
249,488,536
250,487,537
251,489,537
252,491,533
253,498,526
254,505,521
255,513,513
256,518,506
257,522,502
258,525,498
259,525,497
260,522,500
261,518,504
262,513,508
263,506,516
264,501,523
265,495,527
266,491,532
267,491,535
268,491,535
269,494,532
270,497,527
271,503,523
272,509,517
273,515,510
274,518,505
275,520,503
276,521,501
277,520,502
278,518,505
279,514,507
280,508,514
281,503,519
282,499,525
283,496,527
284,495,531
285,495,532
286,496,530
287,499,527
288,502,524
289,507,519
290,512,514
291,515,508
292,517,506
293,518,505
294,518,504
295,516,505
296,513,507
297,509,512
298,505,517
299,502,522
300,500,525
301,497,526
302,497,527
303,498,527
304,501,526
305,503,524
306,506,521
307,509,517
308,512,512
309,514,508
310,515,507
311,515,506
312,514,507
313,512,508
314,509,512
315,507,516
316,504,518
317,502,523
318,502,525
319,501,525
320,501,525
321,502,525
322,503,524
323,506,522
324,508,518
325,510,516
326,511,512
327,512,510
328,512,509
329,511,509
330,510,510
331,508,512
332,507,515
333,505,517
334,504,519
335,503,522
336,503,523
337,503,523
338,504,523
339,505,523
340,506,521
341,507,519
342,508,517
343,508,516
344,508,514
345,508,513
346,508,512
347,508,512
348,507,514
349,507,515
350,506,516
351,506,518
352,506,518
353,506,520
354,506,520
355,506,521
356,507,520
357,507,519
358,507,519
359,507,518
360,507,517
361,507,516
362,507,516
363,507,515
364,507,515
365,507,516
366,507,516
367,507,517
368,507,517
369,507,518
370,507,518
371,507,518
372,507,518
373,507,518
374,507,518
375,507,518
376,507,518
377,507,518
378,507,517
379,507,517
380,507,518
381,507,517
382,507,518
383,507,517
384,507,518
385,507,518
386,507,517
387,507,517
388,507,517
389,506,517
390,507,518
391,507,518
392,507,517
393,507,517
394,507,518
395,507,517
396,507,517
397,507,517
398,507,517
399,507,517
400,507,518