time (s), potA, potB
0,511,699
1,511,699
2,510,699
3,511,699
4,511,699
5,511,699
6,511,699
7,511,699
8,511,699
9,511,699
10,511,699
11,511,699
12,511,699
13,512,699
14,512,704
15,512,712
16,512,724
17,511,740
18,508,760
19,508,773
20,506,787
21,504,789
22,504,788
23,503,786
24,504,784
25,504,786
26,504,788
27,504,787
28,504,786
29,504,786
30,504,787
31,504,788
32,504,787
33,504,786
34,504,786
35,504,787
36,504,788
37,504,786
38,505,786
39,506,786
40,507,787
41,508,787
42,508,786
43,508,786
44,508,786
45,508,787
46,508,787
47,508,787
48,508,786
49,508,786
50,509,786
51,511,776
52,512,766
53,513,745
54,514,715
55,514,691
56,514,649
57,514,630
58,512,612
59,510,608
60,507,612
61,504,620
62,500,642
63,499,664
64,497,699
65,497,725
66,500,749
67,504,764
68,508,773
69,513,774
70,517,764
71,521,749
72,525,727
73,527,701
74,526,669
75,524,647
76,518,628
77,514,618
78,507,617
79,500,622
80,495,635
81,490,655
82,487,681
83,488,711
84,491,733
85,496,752
86,503,763
87,512,766
88,518,764
89,527,755
90,532,736
91,535,715
92,535,693
93,532,663
94,527,644
95,518,631
96,510,626
97,500,627
98,491,636
99,485,650
100,480,670
101,479,699
102,481,719
103,487,737
104,496,751
105,507,756
106,517,756
107,528,752
108,535,738
109,542,722
110,544,701
111,542,676
112,535,658
113,527,646
114,516,637
115,504,636
116,491,641
117,482,650
118,475,666
119,473,688
120,474,707
121,479,722
122,488,735
123,499,742
124,513,745
125,526,743
126,536,736
127,545,724
128,549,710
129,548,695
130,544,672
131,533,660
132,522,652
133,509,649
134,496,649
135,483,656
136,474,666
137,468,677
138,468,699
139,473,711
140,480,722
141,492,730
142,507,733
143,520,733
144,534,730
145,545,722
146,551,712
147,553,699
148,549,690
149,542,673
150,529,666
151,516,662
152,501,661
153,487,664
154,475,669
155,468,676
156,466,694
157,468,701
158,475,711
159,486,716
160,499,721
161,515,722
162,529,720
163,541,716
164,550,711
165,554,705
166,553,698
167,547,692
168,536,682
169,522,676
170,508,674
171,493,675
172,480,676
173,470,685
174,466,693
175,466,698
176,471,700
177,480,705
178,494,708
179,508,709
180,523,709
181,535,708
182,547,706
183,553,704
184,554,699
185,548,699
186,541,697
187,528,695
188,515,694
189,500,694
190,486,694
191,475,695
192,468,695
193,467,696
194,469,697
195,477,698
196,489,698
197,501,698
198,516,698
199,529,698
200,540,698
201,548,698
202,550,699
203,548,699
204,543,699
205,532,700
206,519,700
207,507,700
208,493,700
209,482,700
210,474,699
211,470,698
212,471,697
213,476,695
214,486,694
215,497,694
216,511,693
217,523,694
218,534,694
219,543,697
220,547,698
221,547,699
222,543,703
223,534,705
224,524,706
225,512,706
226,499,706
227,489,705
228,480,701
229,475,699
230,474,696
231,477,693
232,484,690
233,494,686
234,505,685
235,517,686
236,528,688
237,535,693
238,541,697
239,544,699
240,541,705
241,534,708
242,527,711
243,516,711
244,505,711
245,496,709
246,486,706
247,481,701
248,478,698
249,479,694
250,485,687
251,492,681
252,501,677
253,512,677
254,521,680
255,529,687
256,535,694
257,538,699
258,537,704
259,533,708
260,528,712
261,518,714
262,510,714
263,500,712
264,492,710
265,487,705
266,484,699
267,484,694
268,487,687
269,491,677
270,499,675
271,508,674
272,516,675
273,524,680
274,529,690
275,533,696
276,533,701
277,531,707
278,527,712
279,519,715
280,514,716
281,506,715
282,497,712
283,493,709
284,490,702
285,489,697
286,490,690
287,493,678
288,498,674
289,506,672
290,512,673
291,517,675
292,524,684
293,527,694
294,528,699
295,528,706
296,524,711
297,519,715
298,515,716
299,508,716
300,503,715
301,498,711
302,496,706
303,494,699
304,495,693
305,496,684
306,499,676
307,504,672
308,509,672
309,514,674
310,517,678
311,521,690
312,523,697
313,523,703
314,521,709
315,518,714
316,515,716
317,511,716
318,507,715
319,503,712
320,500,708
321,498,700
322,498,695
323,499,687
324,501,677
325,505,674
326,508,673
327,512,674
328,514,676
329,516,686
330,517,694
331,517,700
332,517,706
333,516,711
334,515,714
335,512,716
336,509,715
337,507,713
338,505,710
339,503,704
340,503,698
341,503,693
342,505,685
343,506,677
344,508,675
345,509,675
346,512,677
347,513,685
348,514,693
349,514,699
350,514,703
351,514,708
352,513,712
353,511,714
354,510,714
355,509,712
356,508,710
357,507,705
358,507,699
359,507,695
360,507,691
361,508,684
362,508,678
363,509,677
364,509,680
365,510,686
366,510,693
367,511,697
368,510,700
369,510,705
370,510,708
371,510,711
372,510,711
373,510,711
374,510,708
375,510,705
376,510,700
377,510,698
378,510,694
379,510,691
380,510,687
381,510,685
382,509,686
383,509,689
384,509,694
385,509,696
386,509,699
387,509,701
388,509,705
389,510,707
390,510,707
391,510,707
392,510,706
393,511,704
394,510,700
395,510,699
396,510,696
397,510,694
398,510,693
399,509,692
400,509,692
401,509,693
402,509,694
403,509,696
404,509,699
405,509,700
406,510,701
407,510,704
408,510,704
409,510,704
410,510,703
411,510,701
412,510,699
413,510,699
414,510,698
415,510,696
416,510,695
417,509,694
418,510,695
419,509,695
420,509,696
421,510,698
422,510,699
423,510,699
424,510,700
425,510,700
426,510,700
427,510,700
428,510,700
429,510,699
430,510,699
431,510,699
432,510,699
433,510,698
434,510,698
435,510,697
436,509,698
437,510,698
438,510,698
439,510,698
440,510,699
441,510,699
442,510,698
443,510,699
444,510,699
445,510,699
446,510,699
447,510,698
448,510,698
449,510,699
450,510,699
451,510,699
452,510,699
453,510,699
454,510,699
455,510,699
456,510,699
457,510,698
458,510,699
459,509,699
460,510,699
461,510,699
462,510,699
463,510,699
464,510,699
465,510,699
466,510,699
467,510,699
468,510,699
469,510,699
470,510,698
471,510,699
472,510,699
473,510,699
474,510,699
475,510,699
476,510,699
477,510,699
478,510,699
479,510,699
480,510,699
481,510,698
482,510,699
483,510,699
484,510,699
485,510,699
486,510,699
487,510,698
488,510,699
489,510,699
490,510,699
491,510,699
492,510,699
493,510,699
494,510,699
495,510,699
496,510,699
497,510,699
498,510,699
499,510,699
500,510,699