time (s), potA, potB
0,511,699
1,511,699
2,511,699
3,511,699
4,511,699
5,511,699
6,511,699
7,511,699
8,512,699
9,511,699
10,511,699
11,511,699
12,511,698
13,512,699
14,511,699
15,511,699
16,511,699
17,512,699
18,512,699
19,511,699
20,511,699
21,512,699
22,511,699
23,512,699
24,512,699
25,512,699
26,511,699
27,511,699
28,511,699
29,511,699
30,512,699
31,510,699
32,508,699
33,507,700
34,501,701
35,495,708
36,487,715
37,478,725
38,470,737
39,461,749
40,456,756
41,451,764
42,447,769
43,442,773
44,439,775
45,436,777
46,435,777
47,435,779
48,434,780
49,434,781
50,435,782
51,435,783
52,434,783
53,434,783
54,434,783
55,436,779
56,449,764
57,459,751
58,484,722
59,508,694
60,530,662
61,556,633
62,568,623
63,580,610
64,581,611
65,571,624
66,558,635
67,533,665
68,512,698
69,489,727
70,468,754
71,452,770
72,444,781
73,445,778
74,453,769
75,468,748
76,489,722
77,512,696
78,534,658
79,554,636
80,568,617
81,575,610
82,574,611
83,566,624
84,551,644
85,532,671
86,510,706
87,487,731
88,468,755
89,454,767
90,448,774
91,448,773
92,456,763
93,472,743
94,491,718
95,514,689
96,533,657
97,554,634
98,567,621
99,573,617
100,571,618
101,563,629
102,548,649
103,528,673
104,507,706
105,486,731
106,468,753
107,455,765
108,450,770
109,452,766
110,461,756
111,476,737
112,496,716
113,516,690
114,536,658
115,555,638
116,566,626
117,571,619
118,568,624
119,558,634
120,544,651
121,524,675
122,503,707
123,483,730
124,467,751
125,457,763
126,453,766
127,456,765
128,466,755
129,480,736
130,499,714
131,518,689
132,539,659
133,555,641
134,565,628
135,568,624
136,565,627
137,555,638
138,540,657
139,520,680
140,501,710
141,482,731
142,468,749
143,458,761
144,455,764
145,459,762
146,469,750
147,485,732
148,502,711
149,521,685
150,540,659
151,555,643
152,564,632
153,566,628
154,562,632
155,551,643
156,535,660
157,517,687
158,498,711
159,481,731
160,468,746
161,459,756
162,458,759
163,461,755
164,474,743
165,488,728
166,506,708
167,524,683
168,541,659
169,555,644
170,563,636
171,564,633
172,558,637
173,548,649
174,532,666
175,516,693
176,496,712
177,480,731
178,468,744
179,460,754
180,460,755
181,465,750
182,476,739
183,491,723
184,508,704
185,526,677
186,541,659
187,554,648
188,561,639
189,561,637
190,555,643
191,545,654
192,529,670
193,513,696
194,496,714
195,479,731
196,468,742
197,461,750
198,461,751
199,468,744
200,479,734
201,494,718
202,510,699
203,527,676
204,541,659
205,553,649
206,558,643
207,558,643
208,552,649
209,541,659
210,528,675
211,511,699
212,495,716
213,480,731
214,469,741
215,464,746
216,465,745
217,471,739
218,482,729
219,496,714
220,512,698
221,527,674
222,540,659
223,550,650
224,556,646
225,555,648
226,548,653
227,538,665
228,524,682
229,510,701
230,495,717
231,481,730
232,472,739
233,468,742
234,468,741
235,474,736
236,485,723
237,497,710
238,513,695
239,527,672
240,540,660
241,548,652
242,553,649
243,552,650
244,547,658
245,535,669
246,523,690
247,508,705
248,495,718
249,482,731
250,474,737
251,469,740
252,471,738
253,477,731
254,487,720
255,499,707
256,514,693
257,527,671
258,538,660
259,547,653
260,550,651
261,548,654
262,543,662
263,533,674
264,520,694
265,507,708
266,495,720
267,483,730
268,476,736
269,473,737
270,474,735
271,480,727
272,490,716
273,501,704
274,514,689
275,527,671
276,536,660
277,544,656
278,547,655
279,546,658
280,540,666
281,530,676
282,518,697
283,507,710
284,496,721
285,485,730
286,478,735
287,476,735
288,477,732
289,483,723
290,492,712
291,503,699
292,515,686
293,526,670
294,535,661
295,541,657
296,544,658
297,542,661
298,536,669
299,528,684
300,517,699
301,506,711
302,496,722
303,486,729
304,481,733
305,479,732
306,481,729
307,487,720
308,496,711
309,505,699
310,516,684
311,526,670
312,534,663
313,539,659
314,540,659
315,538,664
316,533,672
317,525,688
318,515,700
319,505,712
320,496,721
321,488,727
322,483,730
323,482,730
324,485,725
325,490,718
326,497,708
327,507,698
328,516,683
329,525,670
330,532,665
331,535,660
332,536,662
333,534,667
334,529,674
335,522,692
336,514,701
337,505,712
338,496,721
339,490,726
340,486,729
341,486,727
342,487,722
343,492,715
344,499,706
345,508,696
346,517,683
347,524,671
348,529,666
349,533,664
350,533,666
351,532,670
352,527,677
353,519,694
354,512,703
355,504,712
356,496,719
357,491,724
358,489,726
359,489,724
360,491,720
361,496,712
362,502,705
363,510,695
364,517,683
365,524,671
366,528,668
367,531,667
368,530,668
369,529,673
370,524,683
371,517,695
372,511,704
373,503,712
374,497,717
375,493,722
376,491,723
377,491,722
378,494,717
379,497,711
380,505,703
381,511,695
382,517,684
383,523,674
384,527,670
385,528,669
386,528,671
387,526,675
388,521,687
389,516,697
390,509,704
391,503,712
392,498,716
393,496,720
394,494,721
395,495,719
396,496,715
397,500,709
398,506,700
399,512,695
400,517,686
401,521,676
402,525,672
403,526,672
404,526,674
405,523,678
406,518,690
407,514,698
408,508,704
409,503,711
410,499,714
411,496,716
412,496,717
413,496,715
414,498,712
415,503,708
416,507,700
417,513,695
418,517,687
419,520,678
420,524,676
421,524,676
422,523,677
423,520,685
424,517,693
425,513,698
426,508,704
427,504,709
428,500,712
429,497,714
430,497,714
431,498,713
432,501,710
433,505,705
434,508,699
435,514,695
436,517,691
437,519,684
438,521,679
439,521,679
440,521,684
441,518,690
442,516,694
443,512,699
444,507,703
445,505,708
446,501,711
447,500,712
448,500,712
449,500,710
450,503,708
451,507,704
452,510,699
453,514,696
454,516,693
455,518,688
456,519,686
457,519,687
458,518,690
459,517,694
460,515,697
461,511,699
462,507,703
463,505,706
464,502,708
465,501,709
466,502,708
467,503,707
468,505,704
469,508,700
470,511,699
471,514,696
472,516,694
473,517,693
474,517,692
475,517,693
476,517,693
477,516,695
478,514,698
479,511,700
480,508,702
481,506,705
482,505,706
483,504,706
484,504,706
485,505,704
486,506,701
487,508,699
488,511,698
489,513,696
490,515,695
491,516,694
492,516,695
493,516,695
494,516,697
495,514,698
496,512,699
497,511,700
498,508,701
499,507,702
500,506,703
501,506,703
502,506,701
503,507,700
504,507,699
505,508,699
506,511,699
507,513,698
508,514,697
509,514,697
510,515,698
511,514,698
512,514,698
513,514,699
514,512,699
515,511,699
516,509,700
517,508,700
518,507,700
519,507,700
520,507,699
521,508,699
522,508,699
523,509,699
524,511,699
525,512,699
526,513,699
527,513,699
528,513,699
529,513,699
530,513,699
531,512,699
532,511,699
533,511,699
534,510,699
535,509,699
536,509,699
537,508,699
538,509,699
539,509,699
540,510,699
541,510,699
542,511,699
543,511,699
544,511,699
545,512,699
546,512,699
547,512,699
548,511,699
549,511,699
550,511,699
551,511,699
552,511,699
553,510,699
554,510,699
555,510,699
556,510,699
557,511,699
558,511,699
559,511,699
560,511,699
561,511,699
562,511,699
563,511,699
564,511,699
565,511,699
566,511,699
567,511,699
568,511,699
569,511,699
570,511,699
571,511,699
572,511,699
573,511,699
574,511,699
575,511,699
576,511,699
577,511,699
578,511,699
579,511,699
580,511,699
581,511,699
582,511,699
583,511,699
584,511,699
585,511,699
586,511,699
587,511,699
588,511,699
589,511,699
590,511,699
591,511,699
592,511,699
593,511,699
594,511,699
595,511,699
596,511,699
597,511,699
598,511,699
599,511,699
600,511,699