time (s), potA, potB
0,507,711
1,506,710
2,504,707
3,503,704
4,503,700
5,504,699
6,504,698
7,506,699
8,508,702
9,513,711
10,519,722
11,526,731
12,534,742
13,544,754
14,552,762
15,561,771
16,566,773
17,570,776
18,575,777
19,576,777
20,576,778
21,576,779
22,575,781
23,575,782
24,575,782
25,576,782
26,576,781
27,577,781
28,577,782
29,576,782
30,576,781
31,576,781
32,577,781
33,577,780
34,569,772
35,562,764
36,546,744
37,522,721
38,505,699
39,479,664
40,463,647
41,448,628
42,439,622
43,440,622
44,445,626
45,461,642
46,478,659
47,500,692
48,521,715
49,541,736
50,557,756
51,568,765
52,571,773
53,570,771
54,562,761
55,546,744
56,527,723
57,507,700
58,486,671
59,467,652
60,454,637
61,446,628
62,445,627
63,450,632
64,461,643
65,478,661
66,497,688
67,518,712
68,536,732
69,553,749
70,563,762
71,568,765
72,567,764
73,559,757
74,545,742
75,527,724
76,508,703
77,489,675
78,471,657
79,460,642
80,452,634
81,450,632
82,454,636
83,463,647
84,479,662
85,496,687
86,516,709
87,533,728
88,549,743
89,560,755
90,564,761
91,563,760
92,556,754
93,544,739
94,528,723
95,510,706
96,491,682
97,476,660
98,463,649
99,455,640
100,454,637
101,457,640
102,466,649
103,480,664
104,496,687
105,514,707
106,530,724
107,546,739
108,555,750
109,560,756
110,560,755
111,554,748
112,542,737
113,527,723
114,512,706
115,495,686
116,479,666
117,468,652
118,461,645
119,460,643
120,461,646
121,470,653
122,482,666
123,496,687
124,513,706
125,528,721
126,541,735
127,551,744
128,555,750
129,555,750
130,550,744
131,540,735
132,526,722
133,512,706
134,496,691
135,482,669
136,471,657
137,464,650
138,463,649
139,464,650
140,472,657
141,484,668
142,497,687
143,512,704
144,526,718
145,538,731
146,547,739
147,551,744
148,551,744
149,546,739
150,537,731
151,525,720
152,512,706
153,497,693
154,485,672
155,475,661
156,469,656
157,467,652
158,469,655
159,476,661
160,486,671
161,498,690
162,512,704
163,525,716
164,535,727
165,544,736
166,547,739
167,547,739
168,544,736
169,534,728
170,524,717
171,512,706
172,498,694
173,488,675
174,478,666
175,473,660
176,471,658
177,472,659
178,479,666
179,488,674
180,499,692
181,512,703
182,522,714
183,532,724
184,540,731
185,544,735
186,544,735
187,540,731
188,531,724
189,522,715
190,512,706
191,500,696
192,490,678
193,481,670
194,476,666
195,475,663
196,477,665
197,482,669
198,490,676
199,500,694
200,512,702
201,521,712
202,530,721
203,536,726
204,540,730
205,540,731
206,535,728
207,529,722
208,520,714
209,511,705
210,501,697
211,491,684
212,485,673
213,480,669
214,479,668
215,480,668
216,485,673
217,491,682
218,501,694
219,512,701
220,520,711
221,528,717
222,533,723
223,535,725
224,535,725
225,532,723
226,526,718
227,519,712
228,510,704
229,502,697
230,493,688
231,488,677
232,484,673
233,483,672
234,484,673
235,488,676
236,494,687
237,502,696
238,512,701
239,519,710
240,526,715
241,530,719
242,532,721
243,532,721
244,529,718
245,525,715
246,517,710
247,509,704
248,502,698
249,495,693
250,490,684
251,487,678
252,487,677
253,488,677
254,490,684
255,496,692
256,504,698
257,512,701
258,518,708
259,524,712
260,527,715
261,529,716
262,528,716
263,526,715
264,521,712
265,516,708
266,509,702
267,503,698
268,496,694
269,492,691
270,490,686
271,490,685
272,491,687
273,494,691
274,499,694
275,506,699
276,511,701
277,517,707
278,521,710
279,525,712
280,525,712
281,525,713
282,523,712
283,519,710
284,514,706
285,508,700
286,504,699
287,498,697
288,495,694
289,493,693
290,493,693
291,494,694
292,496,695
293,501,698
294,507,699
295,512,701
296,516,705
297,520,707
298,521,709
299,522,709
300,522,709
301,520,708
302,517,706
303,512,704
304,508,700
305,504,699
306,500,698
307,497,697
308,496,697
309,496,697
310,497,698
311,500,698
312,503,699
313,507,700
314,512,701
315,514,704
316,517,705
317,519,706
318,520,706
319,519,705
320,517,704
321,514,703
322,512,700
323,508,700
324,505,700
325,502,699
326,500,699
327,499,699
328,500,699
329,500,699
330,502,699
331,506,700
332,508,700
333,511,700
334,513,700
335,515,700
336,516,700
337,516,700
338,516,700
339,515,700
340,512,700
341,510,700
342,508,700
343,506,700
344,504,700
345,503,700
346,503,700
347,503,700
348,504,700
349,506,700
350,507,700
351,508,700
352,511,700
353,512,700
354,513,700
355,513,700
356,513,700
357,513,699
358,512,700
359,511,700
360,508,700
361,508,699
362,507,700
363,506,700
364,506,700
365,506,700
366,507,700
367,507,700
368,507,700
369,508,700
370,508,700
371,509,700
372,510,700
373,511,700
374,511,700
375,510,700
376,510,700
377,509,700
378,508,700
379,508,700
380,508,700
381,508,700
382,508,700
383,508,700
384,508,700
385,508,700
386,508,700
387,509,700
388,509,700
389,509,700
390,509,700
391,509,700
392,509,700
393,508,700
394,508,700
395,508,700
396,508,700
397,508,700
398,508,700
399,508,700
400,509,700