time (s), potA, potB
0,512,700
1,512,700
2,512,699
3,512,700
4,512,700
5,512,700
6,512,700
7,512,700
8,512,700
9,512,700
10,512,700
11,512,702
12,512,706
13,512,712
14,512,722
15,512,731
16,512,741
17,512,754
18,512,763
19,512,772
20,512,777
21,512,780
22,512,780
23,512,771
24,513,757
25,512,733
26,512,710
27,512,676
28,512,651
29,512,633
30,512,617
31,512,617
32,511,618
33,510,631
34,510,649
35,510,672
36,510,705
37,510,728
38,511,750
39,512,764
40,512,773
41,513,773
42,513,765
43,513,752
44,514,731
45,514,708
46,513,676
47,513,653
48,512,636
49,512,626
50,511,623
51,509,626
52,508,636
53,508,653
54,508,675
55,508,706
56,508,728
57,509,747
58,511,763
59,512,766
60,513,766
61,514,762
62,515,746
63,515,728
64,515,706
65,515,676
66,514,656
67,513,639
68,512,630
69,511,627
70,508,631
71,508,642
72,508,658
73,507,682
74,508,708
75,508,728
76,509,744
77,510,756
78,512,763
79,513,763
80,515,755
81,516,740
82,516,723
83,516,703
84,516,676
85,515,657
86,513,643
87,512,635
88,510,633
89,508,637
90,507,648
91,507,663
92,507,687
93,507,710
94,507,728
95,508,742
96,511,754
97,513,756
98,514,756
99,515,750
100,517,736
101,517,719
102,517,699
103,516,674
104,515,658
105,513,646
106,512,638
107,509,637
108,508,643
109,507,652
110,506,667
111,506,694
112,506,711
113,507,727
114,508,740
115,511,750
116,513,754
117,515,752
118,516,743
119,518,731
120,519,715
121,518,699
122,517,674
123,516,659
124,513,649
125,512,644
126,508,643
127,507,649
128,506,658
129,506,673
130,506,696
131,506,712
132,507,726
133,508,738
134,511,744
135,513,748
136,515,745
137,517,737
138,519,725
139,519,712
140,518,696
141,517,674
142,515,660
143,513,652
144,511,649
145,508,649
146,507,654
147,506,664
148,505,676
149,506,699
150,507,713
151,507,726
152,508,735
153,512,741
154,513,742
155,515,740
156,517,732
157,519,721
158,519,709
159,518,694
160,517,674
161,515,664
162,512,656
163,511,652
164,508,654
165,507,659
166,506,669
167,505,686
168,506,700
169,506,714
170,508,725
171,509,733
172,512,737
173,514,737
174,516,735
175,518,727
176,519,717
177,519,705
178,518,694
179,516,674
180,514,666
181,512,659
182,510,658
183,508,659
184,507,666
185,506,674
186,506,693
187,506,703
188,506,714
189,508,723
190,510,730
191,512,733
192,514,733
193,516,730
194,517,723
195,518,712
196,518,701
197,517,693
198,516,675
199,514,668
200,512,664
201,509,663
202,508,665
203,507,670
204,506,677
205,506,695
206,507,705
207,507,714
208,508,722
209,511,726
210,513,729
211,514,728
212,516,723
213,517,718
214,518,710
215,517,699
216,516,692
217,515,676
218,513,671
219,512,668
220,509,668
221,508,670
222,507,674
223,507,687
224,507,698
225,507,705
226,508,713
227,509,719
228,511,723
229,513,724
230,514,723
231,515,720
232,517,714
233,516,707
234,516,699
235,516,693
236,514,678
237,512,673
238,511,671
239,509,672
240,508,674
241,508,681
242,507,693
243,507,699
244,508,706
245,508,712
246,510,716
247,512,719
248,513,720
249,514,718
250,515,715
251,515,711
252,515,704
253,515,699
254,514,693
255,513,685
256,512,677
257,511,676
258,509,677
259,508,681
260,508,689
261,508,695
262,508,700
263,508,706
264,509,711
265,511,714
266,512,715
267,513,715
268,514,714
269,514,711
270,515,708
271,514,700
272,514,698
273,513,694
274,512,689
275,512,685
276,511,685
277,509,686
278,508,690
279,508,694
280,508,698
281,508,701
282,509,706
283,511,709
284,512,711
285,512,712
286,513,712
287,513,711
288,513,708
289,513,704
290,513,699
291,513,698
292,512,695
293,512,694
294,511,692
295,511,693
296,511,693
297,510,694
298,510,697
299,510,699
300,511,701
301,511,705
302,512,706
303,512,707
304,512,708
305,512,707
306,513,706
307,513,705
308,513,701
309,512,699
310,512,699
311,512,697
312,512,696
313,512,696
314,512,696
315,512,697
316,511,698
317,512,699
318,512,700
319,512,701
320,512,703
321,512,704
322,512,704
323,512,704
324,512,704
325,512,702
326,512,700
327,512,699
328,512,699
329,512,699
330,512,699
331,512,699
332,512,699
333,512,699
334,512,699
335,512,699
336,512,700
337,512,700
338,512,700
339,512,700
340,512,700
341,512,700
342,512,699
343,512,699
344,512,699
345,512,699
346,512,699
347,512,699
348,512,699
349,512,699
350,512,699
351,512,699
352,512,699
353,512,700
354,512,699
355,512,700
356,512,700
357,512,700
358,512,699
359,512,699
360,512,700
361,512,699
362,512,700
363,512,700
364,512,699
365,512,699
366,512,700
367,512,699
368,512,699
369,512,699
370,512,699
371,512,700
372,512,700
373,512,699
374,512,699
375,512,700
376,512,699
377,512,700
378,512,699
379,512,699
380,512,699
381,512,700
382,512,700
383,512,699
384,512,699
385,512,700
386,512,700
387,512,699
388,512,700
389,512,700
390,512,699
391,512,699
392,512,700
393,512,700
394,512,699
395,512,700
396,512,699
397,512,699
398,512,699
399,512,699
400,512,700