time (s), potA, potB
0,512,698
1,512,697
2,512,697
3,511,696
4,511,696
5,511,696
6,510,695
7,510,695
8,510,695
9,510,694
10,510,694
11,511,694
12,511,694
13,510,695
14,510,697
15,508,700
16,502,709
17,495,717
18,486,724
19,475,732
20,466,739
21,458,748
22,452,755
23,447,762
24,445,767
25,444,775
26,444,782
27,445,782
28,445,782
29,445,782
30,445,782
31,445,782
32,445,783
33,445,783
34,445,783
35,445,780
36,449,763
37,460,748
38,472,728
39,496,694
40,517,664
41,539,634
42,556,617
43,566,611
44,568,609
45,563,625
46,549,644
47,531,671
48,508,711
49,489,735
50,470,761
51,461,769
52,454,772
53,459,766
54,471,748
55,488,723
56,508,694
57,528,658
58,547,633
59,559,618
60,567,609
61,565,612
62,555,625
63,538,647
64,518,674
65,497,711
66,478,737
67,465,759
68,459,768
69,459,771
70,468,763
71,482,744
72,500,721
73,518,693
74,540,658
75,556,634
76,565,618
77,566,612
78,560,618
79,546,630
80,528,650
81,506,678
82,486,714
83,470,736
84,460,754
85,457,764
86,461,764
87,472,755
88,489,737
89,509,715
90,530,686
91,549,657
92,563,636
93,568,625
94,566,622
95,556,627
96,541,641
97,520,662
98,500,694
99,480,716
100,464,736
101,455,750
102,454,755
103,460,753
104,474,742
105,492,724
106,514,704
107,533,675
108,552,655
109,565,639
110,569,632
111,566,632
112,555,640
113,538,655
114,518,675
115,496,701
116,477,722
117,461,735
118,454,745
119,454,747
120,461,741
121,476,728
122,495,712
123,515,695
124,534,667
125,553,651
126,565,641
127,567,637
128,565,641
129,554,651
130,537,667
131,517,693
132,496,712
133,477,727
134,462,739
135,457,742
136,458,741
137,465,733
138,478,719
139,496,701
140,516,675
141,533,659
142,550,646
143,561,638
144,564,638
145,560,646
146,548,659
147,532,677
148,515,702
149,496,721
150,479,735
151,468,742
152,461,745
153,462,741
154,471,728
155,484,713
156,500,694
157,517,668
158,533,650
159,548,639
160,555,636
161,556,638
162,552,649
163,541,664
164,528,689
165,511,710
166,495,727
167,481,741
168,473,747
169,469,748
170,471,740
171,479,726
172,491,710
173,506,686
174,519,664
175,533,647
176,546,637
177,548,634
178,548,638
179,544,649
180,532,667
181,518,693
182,505,712
183,491,729
184,481,742
185,476,748
186,475,748
187,479,739
188,488,725
189,499,708
190,513,685
191,525,661
192,537,647
193,545,637
194,546,635
195,543,639
196,535,651
197,524,667
198,512,694
199,498,712
200,488,729
201,480,741
202,477,746
203,479,743
204,485,736
205,496,723
206,507,706
207,518,686
208,531,664
209,540,649
210,545,641
211,545,638
212,539,643
213,530,654
214,518,669
215,505,694
216,492,711
217,483,726
218,477,735
219,477,741
220,481,739
221,489,732
222,500,719
223,513,704
224,524,685
225,535,666
226,543,653
227,546,647
228,545,645
229,537,649
230,527,660
231,514,674
232,501,696
233,489,711
234,480,723
235,476,731
236,476,735
237,481,732
238,490,725
239,502,715
240,516,700
241,528,682
242,539,667
243,546,658
244,548,652
245,545,652
246,537,658
247,525,667
248,513,683
249,498,699
250,487,712
251,479,722
252,475,727
253,476,728
254,481,725
255,490,717
256,502,707
257,516,695
258,528,676
259,539,667
260,546,659
261,548,658
262,544,659
263,536,666
264,525,675
265,513,694
266,499,705
267,488,715
268,480,722
269,476,725
270,477,724
271,482,719
272,491,711
273,502,700
274,516,687
275,527,673
276,537,665
277,542,660
278,545,660
279,541,664
280,534,672
281,524,686
282,514,699
283,501,711
284,490,717
285,482,723
286,480,724
287,480,722
288,485,716
289,492,706
290,502,695
291,515,677
292,524,668
293,533,662
294,539,659
295,540,660
296,538,666
297,531,675
298,522,693
299,513,704
300,502,715
301,492,722
302,486,725
303,484,725
304,484,722
305,489,715
306,496,704
307,505,693
308,515,675
309,523,666
310,530,660
311,533,658
312,534,660
313,532,667
314,528,675
315,518,694
316,511,705
317,502,716
318,496,722
319,490,726
320,489,725
321,490,722
322,494,715
323,500,704
324,508,692
325,516,674
326,522,666
327,528,659
328,531,658
329,530,660
330,528,667
331,522,675
332,516,694
333,507,704
334,501,715
335,496,722
336,491,726
337,491,726
338,495,722
339,497,715
340,505,704
341,512,694
342,517,675
343,524,667
344,527,661
345,529,659
346,527,661
347,523,667
348,518,675
349,512,694
350,505,703
351,499,713
352,496,720
353,493,723
354,494,723
355,496,720
356,502,714
357,508,705
358,515,695
359,519,677
360,524,670
361,528,665
362,528,663
363,525,664
364,520,669
365,515,676
366,508,693
367,502,701
368,496,711
369,494,716
370,492,719
371,495,720
372,497,717
373,504,711
374,511,704
375,517,695
376,522,684
377,527,674
378,529,668
379,528,667
380,524,668
381,519,674
382,514,680
383,507,694
384,501,700
385,496,708
386,492,713
387,491,716
388,495,716
389,498,713
390,505,708
391,512,700
392,517,695
393,523,686
394,527,675
395,529,673
396,528,673
397,524,674
398,519,676
399,514,687
400,507,695
401,501,700
402,496,706
403,492,711
404,491,711
405,495,711
406,498,708
407,505,704
408,511,699
409,517,694
410,522,686
411,527,677
412,528,675
413,528,675
414,524,677
415,519,686
416,514,693
417,507,698
418,501,702
419,496,706
420,495,709
421,494,710
422,496,708
423,498,705
424,504,699
425,510,695
426,516,691
427,519,683
428,524,677
429,526,676
430,526,677
431,523,685
432,518,691
433,515,696
434,508,700
435,503,704
436,499,707
437,496,709
438,496,708
439,496,705
440,499,701
441,504,698
442,509,693
443,515,687
444,518,681
445,521,676
446,523,676
447,523,681
448,521,687
449,518,694
450,515,698
451,510,701
452,506,706
453,502,708
454,500,709
455,498,708
456,499,705
457,501,700
458,505,697
459,509,692
460,514,686
461,517,677
462,518,676
463,519,676
464,519,681
465,518,687
466,517,694
467,514,698
468,510,702
469,506,706
470,504,709
471,502,710
472,501,708
473,502,705
474,504,700
475,507,697
476,510,693
477,513,686
478,516,679
479,517,676
480,517,676
481,517,681
482,516,687
483,515,694
484,512,698
485,509,701
486,507,705
487,506,707
488,504,708
489,504,707
490,506,705
491,507,701
492,509,698
493,511,694
494,514,688
495,515,683
496,516,679
497,516,679
498,516,682
499,514,687
500,513,694
501,510,696
502,508,699
503,507,703
504,506,705
505,506,706
506,506,706
507,507,705
508,509,700
509,511,698
510,513,695
511,515,692
512,515,687
513,516,685
514,515,684
515,514,686
516,513,689
517,511,693
518,509,696
519,507,699
520,506,700
521,506,703
522,506,704
523,507,704
524,508,702
525,510,700
526,512,699
527,514,696
528,515,694
529,515,692
530,515,690
531,515,689
532,514,690
533,512,692
534,510,694
535,508,695
536,507,698
537,507,699
538,506,700
539,507,700
540,507,700
541,508,700
542,511,699
543,512,699
544,514,696
545,515,695
546,515,693
547,515,693
548,515,693
549,514,693
550,512,694
551,510,695
552,508,696
553,507,697
554,507,698
555,507,699
556,507,699
557,508,699
558,508,699
559,511,698
560,512,697
561,513,696
562,514,695
563,514,694
564,514,694
565,514,695
566,513,695
567,512,696
568,511,696
569,509,697
570,508,697
571,507,698
572,507,698
573,507,697
574,508,697
575,509,697
576,510,696
577,511,696
578,512,696
579,512,696
580,513,696
581,513,696
582,513,696
583,512,696
584,512,697
585,511,697
586,510,697
587,509,697
588,509,697
589,509,697
590,509,696
591,509,696
592,510,696
593,510,696
594,511,696
595,511,696
596,512,696
597,512,696
598,512,696
599,512,696
600,511,697