time (s), potA, potB,Corrected A,Corrected B
0,506,486,0,0
1,506,486,0,0
2,506,486,0,0
3,506,486,0,0
4,506,491,0,5
5,506,496,0,10
6,506,509,0,23
7,506,525,0,39
8,506,540,0,54
9,506,552,0,66
10,506,562,0,76
11,506,567,0,81
12,506,569,0,83
13,506,572,0,86
14,506,573,0,87
15,506,573,0,87
16,506,573,0,87
17,506,573,0,87
18,506,571,0,85
19,506,559,0,73
20,506,547,0,61
21,506,528,0,42
22,506,500,0,14
23,506,478,0,-8
24,506,450,0,-36
25,506,432,0,-54
26,506,417,0,-69
27,506,409,0,-77
28,506,411,0,-75
29,506,418,0,-68
30,506,434,0,-52
31,506,454,0,-32
32,506,480,0,-6
33,506,504,0,18
34,506,527,0,41
35,506,546,0,60
36,506,557,0,71
37,506,560,0,74
38,506,558,0,72
39,506,546,0,60
40,506,527,0,41
41,506,504,0,18
42,506,481,0,-5
43,506,458,0,-28
44,506,437,0,-49
45,506,424,0,-62
46,506,416,0,-70
47,506,416,0,-70
48,506,422,0,-64
49,506,435,0,-51
50,506,454,0,-32
51,506,477,0,-9
52,506,498,0,12
53,506,521,0,35
54,506,537,0,51
55,506,549,0,63
56,506,553,0,67
57,506,550,0,64
58,506,542,0,56
59,506,526,0,40
60,506,505,0,19
61,506,484,0,-2
62,506,463,0,-23
63,506,443,0,-43
64,506,430,0,-56
65,506,423,0,-63
66,506,421,0,-65
67,506,425,0,-61
68,506,436,0,-50
69,506,454,0,-32
70,506,474,0,-12
71,506,496,0,10
72,506,516,0,30
73,506,532,0,46
74,506,544,0,58
75,506,548,0,62
76,506,547,0,61
77,506,538,0,52
78,506,525,0,39
79,506,506,0,20
80,506,486,0,0
81,506,467,0,-19
82,506,448,0,-38
83,506,435,0,-51
84,506,428,0,-58
85,506,425,0,-61
86,506,431,0,-55
87,506,439,0,-47
88,506,455,0,-31
89,506,473,0,-13
90,506,493,0,7
91,506,511,0,25
92,506,527,0,41
93,506,537,0,51
94,506,543,0,57
95,506,542,0,56
96,506,535,0,49
97,506,523,0,37
98,506,506,0,20
99,506,488,0,2
100,506,469,0,-17
101,506,453,0,-33
102,506,440,0,-46
103,506,433,0,-53
104,506,432,0,-54
105,506,434,0,-52
106,506,443,0,-43
107,506,457,0,-29
108,506,473,0,-13
109,506,492,0,6
110,506,507,0,21
111,506,522,0,36
112,506,532,0,46
113,506,536,0,50
114,506,536,0,50
115,506,530,0,44
116,506,521,0,35
117,506,505,0,19
118,506,489,0,3
119,506,472,0,-14
120,506,457,0,-29
121,506,445,0,-41
122,506,437,0,-49
123,506,436,0,-50
124,506,437,0,-49
125,506,446,0,-40
126,506,459,0,-27
127,506,473,0,-13
128,506,490,0,4
129,506,504,0,18
130,506,518,0,32
131,506,527,0,41
132,506,532,0,46
133,506,532,0,46
134,506,526,0,40
135,506,517,0,31
136,506,503,0,17
137,506,490,0,4
138,506,474,0,-12
139,506,461,0,-25
140,506,449,0,-37
141,506,443,0,-43
142,506,441,0,-45
143,506,443,0,-43
144,506,449,0,-37
145,506,462,0,-24
146,506,475,0,-11
147,506,489,0,3
148,506,503,0,17
149,506,514,0,28
150,506,523,0,37
151,506,526,0,40
152,506,527,0,41
153,506,522,0,36
154,506,514,0,28
155,506,502,0,16
156,506,490,0,4
157,506,476,0,-10
158,506,464,0,-22
159,506,454,0,-32
160,506,447,0,-39
161,506,446,0,-40
162,506,447,0,-39
163,506,453,0,-33
164,506,464,0,-22
165,506,475,0,-11
166,506,488,0,2
167,506,499,0,13
168,506,511,0,25
169,506,518,0,32
170,506,522,0,36
171,506,522,0,36
172,506,519,0,33
173,506,511,0,25
174,506,500,0,14
175,506,489,0,3
176,506,477,0,-9
177,506,467,0,-19
178,506,458,0,-28
179,506,452,0,-34
180,506,451,0,-35
181,506,452,0,-34
182,506,458,0,-28
183,506,466,0,-20
184,506,477,0,-9
185,506,488,0,2
186,506,498,0,12
187,506,507,0,21
188,506,514,0,28
189,506,517,0,31
190,506,517,0,31
191,506,514,0,28
192,506,507,0,21
193,506,498,0,12
194,506,489,0,3
195,506,478,0,-8
196,506,468,0,-18
197,506,462,0,-24
198,506,457,0,-29
199,506,455,0,-31
200,506,457,0,-29
201,506,462,0,-24
202,506,468,0,-18
203,506,478,0,-8
204,506,488,0,2
205,506,496,0,10
206,506,504,0,18
207,506,510,0,24
208,506,512,0,26
209,506,512,0,26
210,506,510,0,24
211,506,504,0,18
212,506,496,0,10
213,506,488,0,2
214,506,479,0,-7
215,506,470,0,-16
216,506,465,0,-21
217,506,462,0,-24
218,506,460,0,-26
219,506,462,0,-24
220,506,465,0,-21
221,506,470,0,-16
222,506,479,0,-7
223,506,488,0,2
224,506,495,0,9
225,506,502,0,16
226,506,506,0,20
227,506,508,0,22
228,506,508,0,22
229,506,506,0,20
230,506,501,0,15
231,506,494,0,8
232,506,488,0,2
233,506,479,0,-7
234,506,474,0,-12
235,506,468,0,-18
236,506,466,0,-20
237,506,465,0,-21
238,506,466,0,-20
239,506,468,0,-18
240,506,474,0,-12
241,506,480,0,-6
242,506,487,0,1
243,506,493,0,7
244,506,498,0,12
245,506,503,0,17
246,506,504,0,18
247,506,503,0,17
248,506,502,0,16
249,506,497,0,11
250,506,492,0,6
251,506,487,0,1
252,506,481,0,-5
253,506,476,0,-10
254,506,470,0,-16
255,506,468,0,-18
256,506,468,0,-18
257,506,469,0,-17
258,506,472,0,-14
259,506,477,0,-9
260,506,482,0,-4
261,506,487,0,1
262,506,492,0,6
263,506,496,0,10
264,506,498,0,12
265,506,499,0,13
266,506,499,0,13
267,506,497,0,11
268,506,495,0,9
269,506,491,0,5
270,506,486,0,0
271,506,481,0,-5
272,506,478,0,-8
273,506,475,0,-11
274,506,473,0,-13
275,506,473,0,-13
276,506,474,0,-12
277,506,476,0,-10
278,506,479,0,-7
279,506,483,0,-3
280,506,487,0,1
281,506,491,0,5
282,506,493,0,7
283,506,495,0,9
284,506,496,0,10
285,506,495,0,9
286,506,494,0,8
287,506,492,0,6
288,506,489,0,3
289,506,486,0,0
290,506,483,0,-3
291,506,479,0,-7
292,506,478,0,-8
293,506,477,0,-9
294,506,477,0,-9
295,506,478,0,-8
296,506,479,0,-7
297,506,482,0,-4
298,506,484,0,-2
299,506,487,0,1
300,506,489,0,3
301,506,492,0,6
302,506,492,0,6
303,506,492,0,6
304,506,492,0,6
305,506,491,0,5
306,506,489,0,3
307,506,487,0,1
308,506,485,0,-1
309,506,484,0,-2
310,506,482,0,-4
311,506,481,0,-5
312,506,481,0,-5
313,506,482,0,-4
314,506,482,0,-4
315,506,483,0,-3
316,506,484,0,-2
317,506,485,0,-1
318,506,486,0,0
319,506,488,0,2
320,506,488,0,2
321,506,488,0,2
322,506,488,0,2
323,506,488,0,2
324,506,487,0,1
325,506,486,0,0
326,506,486,0,0
327,506,485,0,-1
328,506,485,0,-1
329,506,485,0,-1
330,506,485,0,-1
331,506,485,0,-1
332,506,485,0,-1
