time (s), potA, potB
0,507,485
1,507,485
2,507,485
3,507,485
4,507,485
5,507,485
6,507,485
7,507,485
8,507,485
9,507,485
10,507,485
11,507,485
12,507,485
13,507,485
14,507,485
15,507,486
16,506,489
17,506,493
18,505,498
19,504,507
20,504,519
21,503,530
22,503,542
23,503,551
24,503,559
25,503,564
26,503,568
27,503,569
28,503,569
29,503,570
30,503,569
31,503,569
32,503,569
33,503,570
34,503,570
35,503,569
36,503,569
37,503,569
38,503,569
39,503,569
40,504,564
41,507,548
42,509,533
43,515,502
44,517,475
45,518,446
46,518,424
47,516,413
48,509,408
49,501,415
50,491,429
51,483,452
52,478,478
53,477,503
54,480,525
55,490,540
56,501,547
57,516,546
58,530,535
59,544,518
60,554,498
61,556,479
62,554,460
63,545,445
64,528,437
65,508,436
66,489,442
67,469,452
68,455,465
69,448,479
70,449,492
71,459,501
72,474,505
73,496,506
74,518,505
75,541,501
76,560,494
77,571,489
78,574,483
79,568,479
80,554,478
81,532,479
82,509,481
83,486,484
84,466,485
85,450,485
86,444,483
87,445,480
88,456,475
89,473,469
90,493,464
91,516,463
92,536,463
93,552,466
94,562,475
95,565,485
96,559,496
97,547,507
98,531,517
99,512,522
100,493,522
101,478,515
102,468,504
103,462,489
104,465,472
105,472,455
106,483,442
107,496,433
108,511,432
109,522,435
110,531,446
111,535,464
112,535,484
113,532,505
114,526,524
115,518,537
116,510,543
117,503,542
118,499,532
119,496,517
120,496,495
121,497,472
122,501,452
123,503,434
124,506,424
125,507,421
126,506,427
127,505,440
128,502,458
129,501,480
130,500,503
131,501,522
132,502,535
133,507,542
134,513,541
135,518,532
136,523,517
137,529,498
138,530,479
139,529,460
140,524,444
141,517,435
142,506,433
143,496,437
144,485,447
145,477,462
146,473,478
147,474,494
148,479,506
149,489,516
150,501,520
151,516,520
152,530,515
153,541,505
154,548,495
155,551,484
156,548,475
157,540,466
158,525,463
159,508,462
160,491,463
161,477,467
162,465,473
163,459,478
164,460,483
165,467,487
166,481,489
167,496,489
168,514,489
169,530,488
170,545,487
171,554,486
172,556,487
173,553,489
174,544,490
175,529,493
176,514,494
177,496,494
178,481,493
179,470,489
180,464,483
181,463,477
182,469,471
183,481,465
184,493,462
185,508,461
186,522,462
187,533,467
188,541,476
189,546,485
190,542,495
191,536,505
192,526,513
193,515,517
194,502,517
195,492,512
196,486,503
197,481,491
198,481,477
199,484,464
200,490,453
201,496,444
202,505,442
203,513,444
204,517,453
205,520,465
206,521,481
207,521,495
208,518,509
209,516,522
210,513,527
211,509,527
212,507,523
213,506,512
214,505,498
215,506,482
216,506,465
217,506,453
218,506,443
219,505,440
220,503,441
221,501,448
222,501,461
223,499,476
224,498,490
225,500,505
226,502,516
227,507,523
228,512,524
229,517,520
230,520,511
231,524,500
232,526,487
233,525,474
234,521,463
235,517,454
236,508,451
237,501,452
238,492,455
239,486,463
240,482,473
241,481,483
242,484,494
243,491,502
244,500,505
245,510,507
246,519,505
247,529,502
248,535,496
249,539,490
250,538,483
251,532,477
252,524,473
253,514,471
254,501,470
255,491,471
256,481,474
257,476,477
258,474,480
259,477,482
260,483,484
261,493,485
262,506,486
263,517,486
264,528,486
265,535,487
266,540,487
267,540,489
268,536,489
269,528,490
270,518,491
271,506,490
272,496,490
273,487,488
274,481,484
275,478,481
276,480,476
277,484,472
278,491,469
279,501,467
280,512,469
281,519,471
282,528,477
283,531,482
284,532,489
285,530,495
286,524,502
287,518,505
288,510,505
289,502,504
290,496,499
291,491,493
292,490,484
293,490,476
294,491,466
295,496,461
296,501,458
297,507,458
298,512,461
299,515,466
300,517,477
301,518,486
302,517,495
303,516,504
304,514,508
305,512,512
306,508,511
307,507,506
308,506,498
309,505,489
310,505,479
311,505,469
312,505,462
313,505,456
314,505,455
315,505,458
316,504,463
317,503,472
318,503,482
319,503,491
320,505,499
321,506,505
322,508,508
323,512,508
324,514,505
325,516,499
326,517,493
327,517,483
328,516,476
329,514,467
330,510,464
331,506,462
332,501,463
333,497,466
334,495,472
335,493,479
336,494,485
337,496,492
338,501,496
339,506,499
340,512,500
341,517,498
342,520,495
343,523,492
344,524,487
345,523,482
346,519,478
347,515,476
348,508,474
349,502,473
350,496,475
351,491,477
352,490,479
353,490,481
354,491,483
355,496,485
356,501,487
357,508,488
358,516,488
359,519,488
360,524,488
361,527,487
362,525,487
363,522,487
364,518,487
365,512,486
366,505,486
367,499,485
368,495,484
369,491,483
370,491,481
371,491,479
372,495,478
373,501,477
374,506,477
375,512,478
376,517,479
377,519,482
378,521,484
379,521,488
380,519,490
381,517,493
382,514,494
383,507,494
384,503,493
385,501,490
386,497,487
387,496,482
388,496,478
389,498,475
390,501,472
391,504,471
392,507,471
393,512,473
394,514,478
395,515,482
396,515,487
397,515,491
398,514,495
399,512,497
400,509,498
401,507,497
402,506,494
403,506,490
404,505,485
405,504,480
406,505,476
407,505,472
408,506,470
409,506,470
410,506,471
411,506,476
412,507,479
413,506,484
414,507,489
415,507,493
416,507,495
417,508,496
418,509,495
419,510,494
420,511,490
421,512,487
422,512,482
423,511,478
424,509,476
425,507,473
426,506,473
427,504,474
428,503,477
429,502,479
430,502,482
431,502,486
432,503,489
433,506,490
434,507,492
435,509,492
436,512,491
437,514,490
438,515,487
439,514,484
440,514,482
441,512,480
442,509,479
443,507,478
444,504,479
445,502,479
446,501,481
447,501,482
448,501,483
449,502,484
450,504,485
451,507,486
452,509,486
453,512,486
454,514,486
455,515,485
456,515,485
457,514,485
458,513,484
459,511,484
460,507,484
461,506,484
462,503,484
463,502,484
464,501,483
465,501,483
466,502,483
467,504,483
468,506,483
469,508,483
470,510,483
471,512,483
472,513,484
473,513,484
474,512,485
475,512,485
476,510,486
477,508,486
478,507,486
479,506,485
480,504,484
481,504,484
482,504,483
483,505,482
484,506,482
485,507,481
486,507,481
487,508,482
488,509,482
489,509,483
490,510,484
491,509,485
492,509,486
493,508,487
494,508,487
495,507,486
496,507,485
497,507,485
498,507,484
499,507,483
500,507,482
501,507,482
502,507,482
503,507,482
504,507,482
505,507,483
506,507,483
507,507,484
508,507,485
509,507,485
510,507,485
511,507,485
512,507,485
513,507,484
514,507,484
515,507,483
516,507,483
517,507,483
518,507,483
519,507,483
520,507,483
521,507,483
522,507,483
523,507,484
524,507,484
525,507,484
526,507,484
527,507,484
528,507,484
529,507,484
530,507,484
531,507,484
532,507,484
533,507,484
534,507,484
535,507,484
536,507,484
537,507,484
538,507,484
539,507,484
540,507,484
541,507,484
542,507,484
543,507,484
544,507,484
545,507,484
546,507,484
547,507,484
548,507,484
549,507,484
550,507,484
551,507,484
552,507,484
553,507,484
554,507,484
555,507,484
556,507,484
557,507,484
558,507,484
559,507,484
560,507,484
561,507,484
562,507,484
563,507,484
564,507,484
565,508,484
566,507,484
567,507,484
568,507,484
569,507,484
570,507,484
571,507,484
572,507,484
573,507,484
574,507,484
575,507,484
576,507,484
577,507,484
578,507,484
579,507,484
580,507,484
581,507,484
582,507,484
583,507,484
584,507,484
585,507,484
586,507,484
587,507,484
588,507,484
589,507,484
590,507,484
591,507,484
592,507,484
593,507,484
594,507,484
595,507,484
596,507,484
597,507,484
598,507,484
599,507,484
600,507,484