time (s), potA, potB
0,513,490
1,514,488
2,514,485
3,514,483
4,513,481
5,510,479
6,508,478
7,506,478
8,504,478
9,502,479
10,502,480
11,502,481
12,502,482
13,504,483
14,507,484
15,509,485
16,512,485
17,514,485
18,514,485
19,515,485
20,514,485
21,514,485
22,511,484
23,510,484
24,509,484
25,507,483
26,503,482
27,501,482
28,496,486
29,488,491
30,479,497
31,473,504
32,465,511
33,460,516
34,456,521
35,454,526
36,452,530
37,450,534
38,448,537
39,448,541
40,448,544
41,447,546
42,446,547
43,445,548
44,443,549
45,438,550
46,436,550
47,434,551
48,434,553
49,439,550
50,460,535
51,476,519
52,507,489
53,536,461
54,557,440
55,572,423
56,572,424
57,560,433
58,540,452
59,511,482
60,485,506
61,459,530
62,448,540
63,446,540
64,455,528
65,476,505
66,501,480
67,530,450
68,550,432
69,565,421
70,566,422
71,555,435
72,537,457
73,512,487
74,488,516
75,468,536
76,455,546
77,455,544
78,465,531
79,484,507
80,507,480
81,531,451
82,549,429
83,558,419
84,557,420
85,546,432
86,527,453
87,503,482
88,481,509
89,464,531
90,456,543
91,459,542
92,472,530
93,491,508
94,517,483
95,539,458
96,555,438
97,562,428
98,559,428
99,547,438
100,525,457
101,501,482
102,477,506
103,460,525
104,453,534
105,456,532
106,469,521
107,490,503
108,514,479
109,537,455
110,555,440
111,563,432
112,561,435
113,549,447
114,530,466
115,506,492
116,483,512
117,467,527
118,458,535
119,459,530
120,470,517
121,489,495
122,509,472
123,531,450
124,547,434
125,555,428
126,554,432
127,544,445
128,526,466
129,505,493
130,487,515
131,473,531
132,466,538
133,468,535
134,479,523
135,496,502
136,515,477
137,532,453
138,546,437
139,550,429
140,549,431
141,537,442
142,519,461
143,500,485
144,481,507
145,469,524
146,464,532
147,468,530
148,481,520
149,497,503
150,518,481
151,536,461
152,549,445
153,555,438
154,551,439
155,539,449
156,521,465
157,501,485
158,481,505
159,469,519
160,461,525
161,465,524
162,476,512
163,492,495
164,513,478
165,531,459
166,546,446
167,553,440
168,551,443
169,542,454
170,527,471
171,507,491
172,490,508
173,476,523
174,469,526
175,469,524
176,478,512
177,491,495
178,508,477
179,525,456
180,538,443
181,545,437
182,545,439
183,537,450
184,523,466
185,507,487
186,491,506
187,480,522
188,474,528
189,475,526
190,483,518
191,496,503
192,512,482
193,527,463
194,538,449
195,544,440
196,542,440
197,533,447
198,520,461
199,504,480
200,490,498
201,478,512
202,472,522
203,474,523
204,482,515
205,496,504
206,512,487
207,527,470
208,540,456
209,547,448
210,546,447
211,538,453
212,525,464
213,509,480
214,492,495
215,480,507
216,472,516
217,471,517
218,477,509
219,490,498
220,503,483
221,519,469
222,533,457
223,541,449
224,545,449
225,540,455
226,529,466
227,516,482
228,501,497
229,489,508
230,479,517
231,477,518
232,480,512
233,489,501
234,501,485
235,514,470
236,526,456
237,534,448
238,538,446
239,534,450
240,527,461
241,516,477
242,502,493
243,491,506
244,484,517
245,481,520
246,483,517
247,491,507
248,502,494
249,515,479
250,525,464
251,533,453
252,536,448
253,533,449
254,526,456
255,515,469
256,502,483
257,491,496
258,482,507
259,480,514
260,481,513
261,490,507
262,500,497
263,514,484
264,524,471
265,533,462
266,538,455
267,538,455
268,531,460
269,520,469
270,508,481
271,495,494
272,485,504
273,480,507
274,479,507
275,483,504
276,492,494
277,504,483
278,517,472
279,528,463
280,534,458
281,536,457
282,533,461
283,526,470
284,516,481
285,503,494
286,493,504
287,486,508
288,483,509
289,485,506
290,491,498
291,500,487
292,510,475
293,519,464
294,528,456
295,531,454
296,530,456
297,525,464
298,517,475
299,507,487
300,497,498
301,491,506
302,489,511
303,489,509
304,492,505
305,501,494
306,509,483
307,518,471
308,525,462
309,529,457
310,528,456
311,523,460
312,517,467
313,507,479
314,498,489
315,491,499
316,488,505
317,487,507
318,491,505
319,497,498
320,507,490
321,517,480
322,524,471
323,530,464
324,531,462
325,528,462
326,522,467
327,514,476
328,503,484
329,495,494
330,489,499
331,485,503
332,487,502
333,491,497
334,500,490
335,509,482
336,518,474
337,525,467
338,529,464
339,530,464
340,527,469
341,519,476
342,512,483
343,502,493
344,495,498
345,491,503
346,490,503
347,490,498
348,496,494
349,502,484
350,510,476
351,518,468
352,522,463
353,525,463
354,524,465
355,520,471
356,515,479
357,508,487
358,501,495
359,496,502
360,493,504
361,493,503
362,496,498
363,501,492
364,508,483
365,514,475
366,518,467
367,521,463
368,521,463
369,519,465
370,516,471
371,509,480
372,502,487
373,497,494
374,495,500
375,494,502
376,496,501
377,501,496
378,506,490
379,513,483
380,518,476
381,521,471
382,523,467
383,522,467
384,518,470
385,513,475
386,506,481
387,501,487
388,496,493
389,492,495
390,492,496
391,496,495
392,501,492
393,507,486
394,514,481
395,518,476
396,522,471
397,523,471
398,522,471
399,518,475
400,514,480
401,507,485
402,501,490
